time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/std,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
98304,-1.1529306173324585,202,12,485,13.71,110,0.2167578935623169,0.0398811474442482,-2.3872081197798254,-0.002642209546320373,0.102294921875,0.7934859991073608,0.2,0.0003,0.0082227625,0.1550121878477512
106496,-1.0863429307937622,220,13,483,13.39,120,0.2446228265762329,0.04667426645755768,-2.3413820710033177,-0.003871906541462522,0.12078857421875,0.7761139869689941,0.2,0.0003,0.008978531,0.12745679535437376
114688,-1.116387128829956,236,14,484,13.53,130,0.2679303288459778,0.0659673660993576,-2.303880531527102,-0.0018674859358725371,0.09588623046875,0.7614824771881104,0.2,0.0003,0.007122574,0.11726152739429381
122880,-1.0336915254592896,253,15,485,12.84,140,0.3131393790245056,0.03211770951747894,-2.242917440086603,-0.0028605156963749322,0.0975830078125,0.7330086827278137,0.2,0.0003,0.009709183,0.1386145684256917
131072,-0.9938762784004211,269,16,486,11.97,150,0.2992331385612488,0.10147789120674133,-2.1951577929779886,-0.0028692965026493765,0.1001220703125,0.7207353115081787,0.2,0.0003,0.009164192,0.13738301566336303
139264,-0.9838739633560181,287,17,485,13.17,160,0.2874981760978699,0.08058609068393707,-2.1389815621078014,-0.00363667280134905,0.1009521484375,0.6996908187866211,0.2,0.0003,0.009340404,0.1438410926319193
147456,-1.0234862565994263,303,18,486,12.26,170,0.30616557598114014,0.060377784073352814,-2.119492252729833,-0.0019309103513478476,0.08482666015625,0.697248101234436,0.2,0.0003,0.007377645,0.1655895015283022
155648,-0.974346399307251,319,19,486,13.22,180,0.37951868772506714,0.06301175802946091,-2.0705092296004297,-0.0030458808109870006,0.09503173828125,0.6730855703353882,0.2,0.0003,0.009418998,0.12418807069479953
163840,-1.0318951606750488,337,20,485,13.93,190,0.3508986234664917,0.036109209060668945,-2.0148002156987785,-0.0010690250796869805,0.10069580078125,0.657988429069519,0.2,0.0003,0.008221155,0.125291156291496
172032,-1.0343928337097168,353,21,486,12.82,200,0.4021506905555725,0.05960424616932869,-1.9852843662723898,-0.0006343591230688617,0.08736572265625,0.6507073640823364,0.2,0.0003,0.0070861154,0.13261558295344003
