episode,return_prisoner,return_guards_mean,outcome,length
349,1.0,1.0,captured,9
350,1.0,1.0,captured,11
351,1.0,1.0,captured,16
352,1.0,1.0,captured,11
353,-1.0,-1.0,escaped,9
354,1.0,1.0,captured,12
355,-1.0,-1.0,escaped,8
356,1.0,1.0,captured,12
357,-1.0,-1.0,escaped,9
358,1.0,1.0,captured,9
359,1.0,1.0,captured,10
360,1.0,1.0,captured,13
361,1.0,1.0,captured,13
362,-1.0,-1.0,escaped,3
363,1.0,1.0,captured,15
364,1.0,1.0,captured,14
365,1.0,1.0,captured,9
366,1.0,1.0,captured,12
367,1.0,1.0,captured,13
368,1.0,1.0,captured,13
369,1.0,1.0,captured,8
370,1.0,1.0,captured,12
371,1.0,1.0,captured,8
372,1.0,1.0,captured,24
373,1.0,1.0,captured,8
374,1.0,1.0,captured,12
375,1.0,1.0,captured,7
376,1.0,1.0,captured,12
377,1.0,1.0,captured,16
378,1.0,1.0,captured,12
379,1.0,1.0,captured,13
380,1.0,1.0,captured,13
381,1.0,1.0,captured,6
382,1.0,1.0,captured,7
383,1.0,1.0,captured,8
384,1.0,1.0,captured,10
385,1.0,1.0,captured,20
386,-1.0,-1.0,escaped,3
387,1.0,1.0,captured,9
388,1.0,1.0,captured,10
389,-1.0,-1.0,escaped,4
390,1.0,1.0,captured,14
391,1.0,1.0,captured,5
392,1.0,1.0,captured,24
393,1.0,1.0,captured,9
394,1.0,1.0,captured,9
395,1.0,1.0,captured,10
396,1.0,1.0,captured,10
397,1.0,1.0,captured,6
398,1.0,1.0,captured,7
399,1.0,1.0,captured,8
400,1.0,1.0,captured,7
401,1.0,1.0,captured,12
402,1.0,1.0,captured,6
403,1.0,1.0,captured,13
404,1.0,1.0,captured,8
405,1.0,1.0,captured,11
406,-1.0,-1.0,escaped,6
407,1.0,1.0,captured,11
408,1.0,1.0,captured,14
409,1.0,1.0,captured,8
410,1.0,1.0,captured,13
411,1.0,1.0,captured,13
412,1.0,1.0,captured,10
413,1.0,1.0,captured,9
414,1.0,1.0,captured,15
415,1.0,1.0,captured,22
416,-1.0,-1.0,escaped,7
417,1.0,1.0,captured,9
418,1.0,1.0,captured,13
419,-1.0,-1.0,escaped,4
420,-1.0,-1.0,escaped,7
421,-1.0,-1.0,escaped,4
422,1.0,1.0,captured,21
423,1.0,1.0,captured,8
424,1.0,1.0,captured,11
425,1.0,1.0,captured,15
426,1.0,1.0,captured,10
427,1.0,1.0,captured,20
428,1.0,1.0,captured,10
429,1.0,1.0,captured,11
430,1.0,1.0,captured,12
431,1.0,1.0,captured,9
432,-1.0,-1.0,escaped,4
433,-1.0,-1.0,escaped,11
434,1.0,1.0,captured,12
435,1.0,1.0,captured,9
436,1.0,1.0,captured,12
437,1.0,1.0,captured,16
438,1.0,1.0,captured,13
439,1.0,1.0,captured,11
440,1.0,1.0,captured,13
441,1.0,1.0,captured,15
442,1.0,1.0,captured,8
443,1.0,1.0,captured,17
444,1.0,1.0,captured,10
445,1.0,1.0,captured,12
446,1.0,1.0,captured,10
447,1.0,1.0,captured,9
448,1.0,1.0,captured,12
449,1.0,1.0,captured,7
450,1.0,1.0,captured,12
451,1.0,1.0,captured,17
452,-1.0,-1.0,escaped,6
453,1.0,1.0,captured,4
454,1.0,1.0,captured,12
455,1.0,1.0,captured,13
456,1.0,1.0,captured,12
457,1.0,1.0,captured,11
458,1.0,1.0,captured,11
459,1.0,1.0,captured,13
460,-1.0,-1.0,escaped,5
461,1.0,1.0,captured,11
462,1.0,1.0,captured,11
463,1.0,1.0,captured,13
464,1.0,1.0,captured,6
465,1.0,1.0,captured,10
466,-1.0,-1.0,escaped,9
467,1.0,1.0,captured,14
468,-1.0,-1.0,escaped,6
469,1.0,1.0,captured,10
470,1.0,1.0,captured,6
471,1.0,1.0,captured,10
472,1.0,1.0,captured,11
473,1.0,1.0,captured,19
474,1.0,1.0,captured,11
475,1.0,1.0,captured,8
476,1.0,1.0,captured,10
477,-1.0,-1.0,escaped,4
478,1.0,1.0,captured,10
479,-1.0,-1.0,escaped,5
480,1.0,1.0,captured,14
481,1.0,1.0,captured,6
482,1.0,1.0,captured,14
483,1.0,1.0,captured,17
484,1.0,1.0,captured,9
485,1.0,1.0,captured,13
486,1.0,1.0,captured,11
487,1.0,1.0,captured,10
488,1.0,1.0,captured,15
489,1.0,1.0,captured,10
490,1.0,1.0,captured,12
491,1.0,1.0,captured,7
492,1.0,1.0,captured,11
493,-1.0,-1.0,escaped,2
494,-1.0,-1.0,escaped,8
495,1.0,1.0,captured,11
496,1.0,1.0,captured,14
497,1.0,1.0,captured,13
498,1.0,1.0,captured,12
499,1.0,1.0,captured,11
500,1.0,1.0,captured,10
501,-1.0,-1.0,escaped,5
502,1.0,1.0,captured,13
503,1.0,1.0,captured,9
504,-1.0,-1.0,escaped,7
505,1.0,1.0,captured,16
506,1.0,1.0,captured,8
507,-1.0,-1.0,escaped,4
508,1.0,1.0,captured,12
509,1.0,1.0,captured,10
510,1.0,1.0,captured,11
511,1.0,1.0,captured,12
512,1.0,1.0,captured,23
513,1.0,1.0,captured,10
514,1.0,1.0,captured,10
515,-1.0,-1.0,escaped,6
516,-1.0,-1.0,escaped,5
517,1.0,1.0,captured,15
518,-1.0,-1.0,escaped,5
519,1.0,1.0,captured,8
520,-1.0,-1.0,escaped,3
521,-1.0,-1.0,escaped,5
522,-1.0,-1.0,escaped,10
523,-1.0,-1.0,escaped,6
524,1.0,1.0,captured,12
525,1.0,1.0,captured,11
526,1.0,1.0,captured,20
527,-1.0,-1.0,escaped,5
528,1.0,1.0,captured,5
529,1.0,1.0,captured,11
530,1.0,1.0,captured,12
531,1.0,1.0,captured,6
532,1.0,1.0,captured,9
533,1.0,1.0,captured,14
534,1.0,1.0,captured,8
535,1.0,1.0,captured,14
536,1.0,1.0,captured,12
537,1.0,1.0,captured,13
538,-1.0,-1.0,escaped,4
539,1.0,1.0,captured,12
540,1.0,1.0,captured,10
541,1.0,1.0,captured,11
542,1.0,1.0,captured,9
543,-1.0,-1.0,escaped,6
544,1.0,1.0,captured,16
545,1.0,1.0,captured,8
546,1.0,1.0,captured,11
547,1.0,1.0,captured,13
548,-1.0,-1.0,escaped,10
549,1.0,1.0,captured,13
550,1.0,1.0,captured,20
551,-1.0,-1.0,escaped,4
552,1.0,1.0,captured,11
553,-1.0,-1.0,escaped,9
554,1.0,1.0,captured,9
555,-1.0,-1.0,escaped,10
556,1.0,1.0,captured,22
557,1.0,1.0,captured,17
558,1.0,1.0,captured,8
559,-1.0,-1.0,escaped,17
560,1.0,1.0,captured,6
561,1.0,1.0,captured,12
562,-1.0,-1.0,escaped,13
563,1.0,1.0,captured,12
564,-1.0,-1.0,escaped,11
565,1.0,1.0,captured,14
566,1.0,1.0,captured,11
567,-1.0,-1.0,escaped,11
568,1.0,1.0,captured,8
569,1.0,1.0,captured,9
570,1.0,1.0,captured,7
571,1.0,1.0,captured,10
572,1.0,1.0,captured,7
573,-1.0,-1.0,escaped,3
574,1.0,1.0,captured,13
575,-1.0,-1.0,escaped,12
576,-1.0,-1.0,escaped,5
577,1.0,1.0,captured,10
