rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/clip_fraction,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/entropy_loss,train/explained_variance,train/value_loss
337.35,229376,-8.6875581741333,616,28,372,0.01773681640625,0.0016366203,270,0.04774872586131096,-0.0001808099600566493,0.2,0.0003,-0.2664923399453983,0.7257647514343262,0.056241538249014414
354.69,237568,-9.054094314575195,638,29,371,0.0296630859375,0.0021373238,280,0.004831056110560894,-0.0016089085776911816,0.2,0.0003,-0.2704987856326625,0.659050464630127,0.0723236886326049
341.57,245760,-8.867330551147461,660,30,372,0.02423095703125,0.0019103709,290,-0.0038985218852758408,-0.00017416268146916992,0.2,0.0003,-0.3142759624868631,0.8215086460113525,0.05636485821669339
335.87,253952,-8.575860977172852,683,31,371,0.03377685546875,0.005282831,300,0.00975712575018406,-0.0018335458234105318,0.2,0.0003,-0.2882615153794177,0.7678453922271729,0.07032696135538571
344.95,262144,-8.93556022644043,704,32,372,0.03084716796875,0.005784178,310,0.03130478039383888,-0.0020765047433087603,0.2,0.0003,-0.2732126824324951,0.7731640934944153,0.070542658766135
329.11,270336,-8.446599960327148,727,33,371,0.0390380859375,0.0035778815,320,0.005340096540749073,-0.0011096782594904654,0.2,0.0003,-0.29767752293264493,0.7638270854949951,0.0684700023579353
332.65,278528,-8.492300033569336,749,34,371,0.03609619140625,0.0034126,330,0.04133336991071701,-0.0020960452795407035,0.2,0.0003,-0.24726862336974592,0.7739870548248291,0.06615512340649729
331.73,286720,-8.610288619995117,770,35,372,0.02701416015625,0.001975583,340,0.021140538156032562,-0.0005053237910033204,0.2,0.0003,-0.2102088562794961,0.6498374938964844,0.06277966814268439
330.88,294912,-8.654181480407715,792,36,372,0.02108154296875,0.0020054479,350,0.11193478107452393,-0.0003215762029412872,0.2,0.0003,-0.3014564269571565,0.6952401995658875,0.08044138873628981
339.25,303104,-8.888790130615234,814,37,372,0.04425048828125,0.004243359,360,0.1108517050743103,-0.0019198465925001074,0.2,0.0003,-0.3089262087480165,0.7393671274185181,0.0636947427130508
343.68,311296,-8.840800285339355,837,38,371,0.01722412109375,0.0011812169,370,0.010289432480931282,-0.00046278433619590943,0.2,0.0003,-0.18712062573758886,0.6913087368011475,0.059075941342962325
350.96,319488,-9.0557279586792,858,39,372,0.02335205078125,0.0025502113,380,0.010444819927215576,-0.001254223544128763,0.2,0.0003,-0.24242951449705288,0.7538269758224487,0.05301822290384735
353.24,327680,-9.031576156616211,880,40,372,0.020166015625,0.004817256,390,0.02353861555457115,-0.0005301699652591196,0.2,0.0003,-0.16828453660709783,0.7351963520050049,0.05956293954477587
360.23,335872,-9.450504302978516,903,41,371,0.0267578125,0.0026597655,400,0.05365635082125664,-0.0008468557492960826,0.2,0.0003,-0.26367334763053807,0.7709177136421204,0.06562816700352414
351.74,344064,-9.297345161437988,924,42,372,0.02027587890625,0.0020864983,410,0.006811076775193214,0.00044277386332396417,0.2,0.0003,-0.2444602288887836,0.7200602293014526,0.08450877512113948
340.75,352256,-9.180521011352539,947,43,371,0.0160400390625,0.0019979535,420,0.02360069751739502,-0.0008567986680645845,0.2,0.0003,-0.12632628633873538,0.7865281105041504,0.05577814958887757
333.01,360448,-8.729903221130371,968,44,372,0.02259521484375,0.0016565952,430,0.028054507449269295,-0.0005876546581930597,0.2,0.0003,-0.20673424480482935,0.7209666967391968,0.08887209036256535
329.55,368640,-8.44936752319336,991,45,371,0.01739501953125,0.0017301035,440,0.019934676587581635,-0.00032315084772562843,0.2,0.0003,-0.12299449279089458,0.7651815414428711,0.05573508840934664
324.82,376832,-8.28376293182373,1013,46,371,0.0320556640625,0.0020849241,450,0.019600270316004753,-0.0011140287928355975,0.2,0.0003,-0.1892651574627962,0.6728173494338989,0.05104447870253352
335.63,385024,-8.498538970947266,1034,47,372,0.02628173828125,0.004029154,460,0.05689626932144165,-0.0013913272339777904,0.2,0.0003,-0.19609427819959818,0.6124404668807983,0.07844849600151065
331.64,393216,-8.504961967468262,1056,48,372,0.02843017578125,0.0024319831,470,0.01203162968158722,-0.001176830460462952,0.2,0.0003,-0.23743849471211434,0.7772994637489319,0.05525687745139294
339.86,401408,-8.766736030578613,1077,49,372,0.01290283203125,0.00073713076,480,0.036207206547260284,-0.0005348919947209651,0.2,0.0003,-0.14398223218740897,0.6431074738502502,0.0719625211222592
