time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss
812,-5.273801803588867,303104,373,382.75,37,0.016201678507059114,-0.31260923503432425,0.8485967516899109,360,0.01695556640625,0.007038785144686699,0.2,0.0003,0.001387924,5.105992768221768e-05
833,-5.296391010284424,311296,373,386.57,38,0.018526119273337825,-0.30114008007803933,0.8525961637496948,370,0.02432861328125,0.0007053613662719727,0.2,0.0003,0.002038662,-0.0006283239821641473
856,-5.355724334716797,319488,373,382.54,39,0.014401123233619728,-0.330822902941145,0.8898953199386597,380,0.0381591796875,-0.004555191844701767,0.2,0.0003,0.004072334,-0.0010388596007032901
878,-5.466090202331543,327680,373,386.2,40,0.021583718796136964,-0.3062746037379839,0.7907517552375793,390,0.044189453125,0.006518607027828693,0.2,0.0003,0.0059217736,-0.0023893416897408314
901,-5.525622367858887,335872,372,389.97,41,0.012432258440003351,-0.2492917887866497,0.8491897583007812,400,0.08880615234375,-0.03397209197282791,0.2,0.0003,0.07001143,-0.0017477857993071666
923,-5.245643138885498,344064,372,389.97,42,0.013044790861749788,-0.25772059286246074,0.8602585792541504,410,0.03023681640625,-0.0014559412375092506,0.2,0.0003,0.0048996345,-0.001056851930297853
945,-5.321887969970703,352256,372,390.37,43,0.011805897192016346,-0.21482736499747263,0.866423487663269,420,0.021728515625,0.004451623186469078,0.2,0.0003,0.0016217001,-0.0003217170432435523
967,-5.181150436401367,360448,372,390.42,44,0.019976375038550032,-0.30484541829209777,0.8286921381950378,430,0.0350830078125,0.003990570083260536,0.2,0.0003,0.0032806066,0.0002463024186909024
989,-5.157100677490234,368640,372,383.09,45,0.01543915482925513,-0.21990529511822388,0.8488977551460266,440,0.029150390625,-0.00185454823076725,0.2,0.0003,0.0027433434,-0.0009927709532348671
1012,-5.206646919250488,376832,372,379.51,46,0.018736340748364454,-0.2700224192114547,0.8203356266021729,450,0.02540283203125,-0.008009737357497215,0.2,0.0003,0.0023322338,0.0004986892158740375
1033,-5.183843612670898,385024,372,372.09,47,0.016097662452648365,-0.21926313652656973,0.8292133808135986,460,0.01844482421875,0.008047227747738361,0.2,0.0003,0.004218852,-0.00042020935634354826
1056,-5.005380153656006,393216,372,367.81,48,0.016733259204647764,-0.18682607819209807,0.8359549641609192,470,0.0219482421875,0.016016125679016113,0.2,0.0003,0.0022864654,-0.0006035048998455749
1077,-5.128048896789551,401408,372,378.99,49,0.019704657627335108,-0.0837704114645021,0.7932440042495728,480,0.0133056640625,-0.006593014113605022,0.2,0.0003,0.0018403968,-0.0013567743575549685
